CLAVE;or_fem;or_masc;dest_fem;dest_masc;POLIG;ETAPA;Cruce_C;Acera;Ubicacion;X_1;Y_1;Puertos;biciestacorta;len_confi;len_segre;transmas;paradatp;area_averde;pobocup;abarrotes;bancos;bares;comidacafe;gobierno;estmibici;puertmibici;recreat;edubascimed;educativo;hospitales;servmedic;universidad;superdepa;intersec
GDL-001;188;743;243;863;Guadalajara Centro;1ra ETAPA;C. Epigmenio Glez./ Av. 16 de Septiembre;Norte;Arroyo Vehicular;-103,34882;20,666378;11;0;205,2413316;0;1;8;5995,2858;3580;18;5;2;34;9;1;15;2;1;0;0;3;0;4;222
GDL-002;224;690;237;531;Guadalajara Centro;1ra ETAPA;C. Colonias  / Av.  NiÒos HÈroes;Poniente;Arroyo Vehicular;-103,366;20,667228;15;0;0;414,2073291;0;5;1061,9962;2826,5;14;4;3;36;2;1;19;3;1;8;0;14;3;3;210
GDL-003;362;1015;394;971;Guadalajara Centro;1ra ETAPA;C. Vidrio / Av. Chapultepec;Norte;Arroyo Vehicular;-103,368252;20,66769;19;0;0;473,1282149;0;8;21678,5945;2607;4;11;6;33;0;2;34;2;2;7;0;10;2;4;246
GDL-004;358;774;350;837;Guadalajara Centro;1ra ETAPA;C. Ghilardi / C. Miraflores;Norte;Arroyo Vehicular;-103,36255;20,69175;11;1;0;289,4730225;0;6;2193,9492;988;31;2;0;17;4;0;0;1;5;1;0;5;1;0;290
GDL-005;119;663;249;767;Guadalajara Centro;1ra ETAPA;C. San Diego / Calzada Independencia;Sur;Arroyo Vehicular;-103,338863;20,681151;11;0;0;0;1;11;98425,2541;682;12;1;3;21;2;1;15;2;1;3;0;5;0;1;288
GDL-006;102;561;148;597;Guadalajara Centro;1ra ETAPA;C. Venustiano Carranza / C. Reforma;Norte;Arroyo Vehicular;-103,344415;20,680717;11;1;0;0;0;17;3187,1578;1113;32;2;0;15;5;2;22;2;4;4;0;7;2;0;292
GDL-007;428;788;495;914;Guadalajara Centro;1ra ETAPA;C. Epigmenio Gonz·lez / Av. Cristobal C.;Sur;Arroyo Vehicular;-103,350562;20,666771;15;0;0;0;0;6;5995,2858;2727;22;4;1;33;6;2;22;3;3;1;1;3;0;3;210
GDL-008;329;879;422;866;Guadalajara Centro;1ra ETAPA;C. J. Angulo / C. Gonz·lez Ortega;Sur;Arroyo Vehicular;-103,350396;20,681871;15;0;0;0;0;14;18030,1873;2072,5;27;1;1;34;3;1;15;2;12;1;0;19;1;1;372
GDL-009;1259;3002;1220;2813;Guadalajara Centro;1ra ETAPA;Calz. Federalismo / C. J. Angulo;Oriente;Banqueta;-103,353835;20,681984;19;1;986,6113548;0;1;10;18126,6696;1520,5;9;0;0;12;3;0;0;1;7;1;0;17;1;0;288
GDL-010;487;1099;570;1109;Guadalajara Centro;1ra ETAPA;C. Cruz Verde / C. Joaquin Angulo;Poniente;Arroyo Vehicular;-103,357267;20,681786;11;0;0;0;0;13;0;1614,5;57;0;0;65;1;0;0;2;4;0;1;6;0;0;228
GDL-011;281;693;263;668;Guadalajara Centro;1ra ETAPA;C. Garibaldi / C. FrÌas;Sur;Arroyo Vehicular;-103,360099;20,681081;11;0;0;0;0;14;0;2437,5;19;6;0;34;1;1;15;0;3;1;3;11;0;1;246
GDL-012;293;634;327;516;Guadalajara Centro;1ra ETAPA;C. JoaquÌn Angulo / C. Ghilardi;Norte;Arroyo Vehicuar;-103,36292;20,681989;11;0;233,6103488;0;0;11;0;959,5;15;0;0;18;0;0;0;1;9;2;1;7;0;0;246
GDL-013;181;569;159;492;Guadalajara Centro;1ra ETAPA;C. Vidrio / C. Marsella;Sur;Arroyo Vehicular;-103,370499;20,667623;11;0;0;470,052086;0;9;15631,0898;2024;2;1;2;21;0;1;15;1;3;5;0;21;1;4;240
GDL-014;774;1424;679;1513;Guadalajara Centro;1ra ETAPA;C. J. Angulo / C. JosÈ Clemente Orozco;Sur;Arroyo Vehicular;-103,365969;20,682059;15;0;497,666116;0;0;7;0;2343,5;24;3;0;33;0;0;0;4;5;3;1;20;0;1;228
